alpha,Cl,Cd,Cdp,Cm
-5,0.0762,0.04501,0.04171,-0.1106
-4.95,0.0812,0.04451,0.0412,-0.1111
-4.9,0.0862,0.04401,0.04068,-0.1116
-4.85,0.0915,0.04344,0.04009,-0.1122
-4.8,0.0967,0.04293,0.03956,-0.1126
-4.75,0.1022,0.04231,0.0389,-0.1132
-4.7,0.1077,0.04174,0.0383,-0.1137
-4.65,0.1133,0.04108,0.0376,-0.1143
-4.6,0.1195,0.04029,0.03677,-0.1151
-4.55,0.1263,0.03913,0.03555,-0.1162
-4.5,0.1317,0.03864,0.03505,-0.1166
-4.45,0.1354,0.03899,0.03542,-0.1162
-4.4,0.1402,0.03885,0.03526,-0.1163
-4.35,0.1457,0.03833,0.03471,-0.1167
-4.3,0.1515,0.0377,0.03405,-0.1172
-4.25,0.1574,0.03704,0.03334,-0.1177
-4.2,0.1634,0.03632,0.03257,-0.1182
-4.15,0.1695,0.0356,0.0318,-0.1187
-4.1,0.1756,0.03481,0.03096,-0.1193
-4.05,0.1819,0.03393,0.03002,-0.1199
-4,0.1879,0.03315,0.0292,-0.1204
-3.95,0.1941,0.03226,0.02825,-0.1209
-3.9,0.2001,0.03152,0.02744,-0.1213
-3.85,0.2063,0.03063,0.02648,-0.1218
-3.8,0.2123,0.02991,0.02569,-0.1221
-3.7,0.2202,0.03084,0.02669,-0.1215
-3.65,0.2258,0.03026,0.02607,-0.1217
-3.6,0.2312,0.02985,0.02562,-0.1219
-3.55,0.2367,0.02941,0.02515,-0.1221
-3.5,0.2425,0.02887,0.02456,-0.1223
-3.45,0.2483,0.02832,0.02394,-0.1225
-3.4,0.2542,0.02772,0.02329,-0.1227
-3.35,0.2601,0.02713,0.02262,-0.1229
-3.3,0.2661,0.0265,0.02192,-0.1231
-3.25,0.2718,0.02593,0.02129,-0.1233
-3.2,0.278,0.02511,0.02039,-0.1235
-3.15,0.2847,0.02399,0.01912,-0.1238
-3.1,0.2911,0.02295,0.01793,-0.124
-3.05,0.2937,0.02485,0.02007,-0.1235
-3,0.3002,0.024,0.0191,-0.1237
-2.95,0.3063,0.02337,0.01837,-0.1238
-2.9,0.3123,0.02277,0.01767,-0.1239
-2.85,0.3182,0.02217,0.01698,-0.124
-2.8,0.3242,0.02152,0.01622,-0.1241
-2.75,0.3302,0.02089,0.01548,-0.1242
-2.7,0.3347,0.02127,0.01595,-0.1242
-2.65,0.3399,0.02125,0.01593,-0.1242
-2.6,0.3452,0.02122,0.0159,-0.1241
-2.55,0.3507,0.02099,0.01562,-0.1242
-2.5,0.3564,0.02073,0.0153,-0.1242
-2.45,0.362,0.02039,0.01491,-0.1242
-2.4,0.3677,0.02007,0.01453,-0.1242
-2.35,0.3735,0.01967,0.01405,-0.1243
-2.3,0.3796,0.0192,0.01346,-0.1243
-2.25,0.3856,0.01871,0.01285,-0.1243
-2.2,0.3914,0.01839,0.01244,-0.1243
-2.15,0.3973,0.01803,0.01198,-0.1242
-2.1,0.4032,0.01766,0.01149,-0.1242
-2,0.413,0.01796,0.01196,-0.1243
-1.95,0.4185,0.01787,0.01185,-0.1242
-1.9,0.4241,0.01766,0.01158,-0.1242
-1.85,0.4299,0.01741,0.01126,-0.1242
-1.8,0.436,0.01707,0.01078,-0.1242
-1.7,0.4466,0.01719,0.0109,-0.1242
-1.65,0.452,0.01706,0.01076,-0.1242
-1.6,0.4573,0.01715,0.01085,-0.1242
-1.55,0.4633,0.01687,0.01043,-0.1241
-1.5,0.469,0.01666,0.01017,-0.1241
-1.45,0.4746,0.01648,0.00994,-0.1241
-1.4,0.4802,0.0163,0.00973,-0.124
-1.35,0.4859,0.01611,0.00947,-0.124
-1.3,0.4915,0.01593,0.00927,-0.124
-1.25,0.4973,0.01574,0.00899,-0.1239
-1.2,0.5029,0.01558,0.00878,-0.1239
-1.15,0.5085,0.01542,0.00856,-0.1238
-1.1,0.5135,0.0155,0.00875,-0.1239
-1.05,0.5192,0.01527,0.00846,-0.1238
-1,0.5246,0.01522,0.00842,-0.1238
-0.95,0.5303,0.01501,0.00814,-0.1238
-0.9,0.5359,0.01489,0.00798,-0.1237
-0.85,0.5415,0.01479,0.00784,-0.1237
-0.8,0.5472,0.01467,0.00766,-0.1236
-0.75,0.5528,0.01455,0.00748,-0.1236
-0.7,0.5585,0.01443,0.0073,-0.1235
-0.65,0.5642,0.01431,0.00712,-0.1234
-0.6,0.5695,0.01423,0.00706,-0.1234
-0.55,0.5748,0.0142,0.00704,-0.1234
-0.5,0.5805,0.01415,0.00694,-0.1234
-0.45,0.5862,0.01407,0.00677,-0.1233
-0.4,0.5912,0.01405,0.00685,-0.1234
-0.35,0.5966,0.01418,0.00693,-0.1234
-0.3,0.602,0.01426,0.00697,-0.1234
-0.25,0.607,0.01448,0.0072,-0.1235
-0.15,0.6045,0.00758,0.00057,-0.1203
-0.1,0.61,0.00749,0.00046,-0.1202
-0.05,0.6155,0.00738,0.00035,-0.1202
0,0.622,0.00721,-0.00001,-0.1199
0.05,0.6274,0.0071,-0.00011,-0.1199
0.1,0.6329,0.00699,-0.00021,-0.1199
0.15,0.6388,0.00691,-0.00041,-0.1197
0.2,0.6443,0.00683,-0.00049,-0.1197
0.25,0.6497,0.00675,-0.00059,-0.1196
0.3,0.6552,0.00668,-0.00069,-0.1195
0.35,0.6607,0.00661,-0.0008,-0.1195
0.4,0.6664,0.00657,-0.00093,-0.1193
0.45,0.6719,0.00652,-0.00101,-0.1193
0.5,0.6773,0.00646,-0.00107,-0.1192
0.55,0.6826,0.0064,-0.00114,-0.1191
0.6,0.688,0.00636,-0.00122,-0.1191
0.65,0.6934,0.0063,-0.00127,-0.119
0.7,0.6988,0.00625,-0.00133,-0.119
0.75,0.7042,0.00622,-0.00139,-0.1189
0.8,0.7096,0.00619,-0.00145,-0.1188
0.85,0.7149,0.00616,-0.00151,-0.1187
0.9,0.7202,0.00612,-0.00156,-0.1187
0.95,0.7256,0.00606,-0.0016,-0.1186
1,0.7309,0.00602,-0.00163,-0.1186
1.05,0.7362,0.00599,-0.00167,-0.1185
1.1,0.7414,0.00596,-0.00172,-0.1185
1.15,0.7468,0.00594,-0.00176,-0.1184
1.2,0.7521,0.0059,-0.00179,-0.1183
1.25,0.7574,0.00587,-0.00183,-0.1183
1.3,0.7628,0.00584,-0.00186,-0.1182
1.35,0.768,0.00582,-0.00189,-0.1182
1.4,0.7733,0.0058,-0.00193,-0.1181
1.45,0.7787,0.00578,-0.00196,-0.118
1.5,0.784,0.00576,-0.00198,-0.118
1.55,0.7893,0.00574,-0.002,-0.118
1.6,0.7946,0.00573,-0.00202,-0.1179
1.65,0.7999,0.00572,-0.00205,-0.1178
1.7,0.8052,0.00571,-0.00207,-0.1178
1.75,0.8105,0.0057,-0.00208,-0.1177
1.8,0.8158,0.00567,-0.00209,-0.1177
1.85,0.8211,0.00566,-0.0021,-0.1177
1.9,0.8264,0.00566,-0.00211,-0.1176
1.95,0.8317,0.00567,-0.00213,-0.1175
2,0.8369,0.00566,-0.00214,-0.1175
2.05,0.8422,0.00565,-0.00215,-0.1175
2.1,0.8476,0.00564,-0.00215,-0.1174
2.15,0.8529,0.00564,-0.00216,-0.1174
2.2,0.8581,0.00565,-0.00217,-0.1173
2.25,0.8633,0.00565,-0.00218,-0.1172
2.3,0.8685,0.00566,-0.00219,-0.1172
2.35,0.8738,0.00566,-0.0022,-0.1171
2.4,0.8791,0.00566,-0.00219,-0.1171
2.45,0.8844,0.00566,-0.00219,-0.117
2.5,0.8897,0.00566,-0.0022,-0.117
2.6,0.9001,0.00567,-0.0022,-0.1168
2.65,0.9055,0.00557,-0.00213,-0.1169
2.7,0.9083,0.00481,-0.00163,-0.117
2.75,0.9131,0.00466,-0.00135,-0.1164
2.8,0.9183,0.00468,-0.00136,-0.1163
2.85,0.9235,0.00471,-0.00137,-0.1162
2.9,0.9286,0.00474,-0.00138,-0.1161
2.95,0.9337,0.00478,-0.0014,-0.116
3,0.9389,0.0048,-0.00139,-0.116
3.05,0.9441,0.00482,-0.00139,-0.1159
3.1,0.9492,0.00484,-0.00138,-0.1158
3.15,0.9543,0.00487,-0.00137,-0.1157
3.2,0.9594,0.0049,-0.00137,-0.1156
3.25,0.9644,0.00494,-0.00137,-0.1155
3.3,0.9695,0.00497,-0.00136,-0.1155
3.35,0.9746,0.00498,-0.00135,-0.1154
3.4,0.9797,0.005,-0.00134,-0.1153
3.45,0.9847,0.00503,-0.00134,-0.1152
3.5,0.9896,0.00506,-0.00133,-0.1151
3.55,0.9946,0.00511,-0.00133,-0.115
3.6,0.9996,0.00513,-0.00132,-0.1149
3.65,1.0047,0.00514,-0.0013,-0.1148
3.7,1.0097,0.00517,-0.00129,-0.1148
3.75,1.0147,0.0052,-0.00127,-0.1146
3.8,1.0196,0.00524,-0.00127,-0.1145
3.85,1.0245,0.00528,-0.00126,-0.1144
3.9,1.0296,0.0053,-0.00124,-0.1144
3.95,1.0346,0.00532,-0.00122,-0.1143
4,1.0396,0.00534,-0.00121,-0.1142
4.05,1.0445,0.00537,-0.0012,-0.1141
4.1,1.0494,0.00541,-0.00119,-0.114
4.15,1.0542,0.00546,-0.00118,-0.1139
4.2,1.0593,0.00547,-0.00115,-0.1138
4.25,1.0643,0.00549,-0.00113,-0.1137
4.3,1.0693,0.00552,-0.00111,-0.1136
4.35,1.0742,0.00555,-0.0011,-0.1135
4.4,1.079,0.00559,-0.00109,-0.1134
4.45,1.0838,0.00564,-0.00107,-0.1133
4.5,1.0888,0.00565,-0.00104,-0.1132
4.55,1.0937,0.00567,-0.00102,-0.1131
4.6,1.0981,0.0057,-0.00102,-0.1129
4.65,1.1025,0.00575,-0.00102,-0.1127
4.7,1.1074,0.00577,-0.001,-0.1126
4.75,1.1119,0.00578,-0.00099,-0.1124
4.8,1.1151,0.00582,-0.00103,-0.112
4.85,1.1193,0.00584,-0.00103,-0.1118
4.9,1.1228,0.00589,-0.00104,-0.1114
4.95,1.1276,0.00592,-0.00102,-0.1114
5,1.1308,0.00598,-0.00103,-0.111
5.05,1.1349,0.00603,-0.00102,-0.1107
5.1,1.1394,0.00607,-0.001,-0.1106
5.15,1.144,0.00611,-0.00097,-0.1104
5.2,1.1487,0.00614,-0.00095,-0.1103
5.25,1.1527,0.0062,-0.00093,-0.1101
5.3,1.1569,0.00625,-0.00091,-0.1099
5.35,1.1615,0.00629,-0.00088,-0.1097
5.4,1.1647,0.00638,-0.00086,-0.1094
5.45,1.1695,0.00641,-0.00083,-0.1093
5.5,1.1738,0.00645,-0.00081,-0.1091
5.55,1.1786,0.00649,-0.00077,-0.109
5.6,1.1828,0.00654,-0.00074,-0.1088
5.65,1.187,0.0066,-0.00071,-0.1086
5.7,1.1914,0.00664,-0.00068,-0.1084
5.75,1.1959,0.00669,-0.00064,-0.1082
5.8,1.1992,0.00678,-0.00061,-0.1079
5.85,1.2026,0.00686,-0.00057,-0.1076
5.9,1.2065,0.00693,-0.00053,-0.1074
5.95,1.211,0.00697,-0.0005,-0.1072
6,1.2157,0.00701,-0.00046,-0.1071
6.05,1.2196,0.00708,-0.00041,-0.1068
6.1,1.224,0.00713,-0.00037,-0.1067
6.15,1.228,0.00719,-0.00033,-0.1065
6.2,1.2317,0.00727,-0.00029,-0.1062
6.25,1.2348,0.00737,-0.00024,-0.1058
6.3,1.2387,0.00744,-0.00019,-0.1056
6.35,1.2422,0.00753,-0.00014,-0.1053
6.4,1.2464,0.00758,-0.0001,-0.1051
6.45,1.2497,0.00768,-0.00004,-0.1048
6.5,1.2542,0.00772,0.00001,-0.1046
6.55,1.2581,0.00779,0.00006,-0.1044
6.6,1.2614,0.00789,0.00012,-0.1041
6.65,1.2637,0.00803,0.00019,-0.1036
6.7,1.2667,0.00814,0.00025,-0.1033
6.75,1.2682,0.00834,0.00035,-0.1027
6.8,1.2707,0.00848,0.00043,-0.1023
6.85,1.2726,0.00865,0.00054,-0.1018
6.9,1.2749,0.0088,0.00063,-0.1013
6.95,1.2764,0.00901,0.00076,-0.1007
7,1.2787,0.00917,0.00087,-0.1003
7.05,1.2809,0.00933,0.00099,-0.0998
7.1,1.2838,0.00945,0.00109,-0.0994
7.15,1.2847,0.00968,0.00124,-0.0988
7.2,1.2844,0.00998,0.00145,-0.098
7.25,1.2867,0.01013,0.00157,-0.0975
7.3,1.288,0.01032,0.00172,-0.0969
7.35,1.2904,0.01045,0.00183,-0.0964
7.4,1.2915,0.01063,0.00197,-0.0958
7.45,1.293,0.01078,0.00209,-0.0952
7.5,1.2956,0.01089,0.00219,-0.0947
7.55,1.2979,0.01102,0.0023,-0.0943
7.6,1.3003,0.01113,0.00241,-0.0938
7.65,1.3016,0.01131,0.00255,-0.0932
7.7,1.3023,0.01152,0.00271,-0.0925
7.75,1.3032,0.01173,0.00288,-0.0919
7.8,1.2996,0.01217,0.0032,-0.0906
7.85,1.2962,0.01261,0.00354,-0.0894
7.9,1.2949,0.01294,0.00382,-0.0885
7.95,1.2952,0.0132,0.00405,-0.0878
8,1.2962,0.01341,0.00425,-0.0872
8.05,1.2958,0.01371,0.00451,-0.0865
8.1,1.2886,0.01442,0.00511,-0.0849
8.15,1.2876,0.01477,0.00544,-0.0841
8.2,1.2875,0.01508,0.00575,-0.0834
8.25,1.289,0.01529,0.00596,-0.0829
8.3,1.2918,0.01541,0.0061,-0.0826
8.35,1.2938,0.01559,0.00629,-0.0822
8.4,1.2963,0.01573,0.00645,-0.0818
8.45,1.2985,0.01591,0.00664,-0.0814
8.5,1.3007,0.01608,0.00683,-0.081
8.55,1.3029,0.01625,0.007,-0.0807
8.6,1.3053,0.01641,0.00718,-0.0803
8.65,1.3075,0.01658,0.00737,-0.0799
8.7,1.3098,0.01675,0.00755,-0.0796
8.75,1.3119,0.01693,0.00775,-0.0792
8.8,1.3143,0.0171,0.00793,-0.0789
8.85,1.3164,0.01729,0.00814,-0.0785
8.9,1.3185,0.01748,0.00835,-0.0782
8.95,1.3207,0.01767,0.00855,-0.0778
9,1.3226,0.01787,0.00878,-0.0774
9.05,1.3246,0.01807,0.009,-0.0771
9.1,1.3266,0.01828,0.00922,-0.0767
9.15,1.3285,0.01849,0.00945,-0.0763
9.2,1.3303,0.01872,0.00969,-0.076
9.25,1.3322,0.01894,0.00993,-0.0756
9.3,1.334,0.01917,0.01018,-0.0753
9.35,1.3357,0.0194,0.01043,-0.0749
9.4,1.3375,0.01964,0.01069,-0.0745
9.45,1.3393,0.01988,0.01095,-0.0742
9.5,1.3406,0.02015,0.01125,-0.0738
9.55,1.3424,0.0204,0.01151,-0.0734
9.6,1.344,0.02066,0.01179,-0.0731
9.65,1.3454,0.02093,0.01208,-0.0727
9.7,1.3469,0.02121,0.01238,-0.0724
9.75,1.3481,0.0215,0.01271,-0.072
9.8,1.3497,0.02178,0.013,-0.0716
9.85,1.351,0.02208,0.01332,-0.0713
9.9,1.3521,0.0224,0.01366,-0.0709
9.95,1.3534,0.02271,0.01399,-0.0705
10,1.3547,0.02302,0.01432,-0.0702
10.05,1.3557,0.02335,0.01468,-0.0698
10.1,1.3566,0.0237,0.01506,-0.0694
10.15,1.3576,0.02405,0.01542,-0.0691
10.2,1.3587,0.0244,0.01579,-0.0687
10.25,1.3597,0.02475,0.01617,-0.0684
10.3,1.3605,0.02512,0.01657,-0.068
10.35,1.3614,0.0255,0.01697,-0.0677
10.4,1.3621,0.02591,0.0174,-0.0673
10.45,1.3628,0.0263,0.01782,-0.067
10.5,1.3636,0.02669,0.01823,-0.0666
10.55,1.3639,0.02715,0.01872,-0.0662
10.6,1.3647,0.02754,0.01913,-0.0659
10.65,1.3653,0.02797,0.01958,-0.0656
10.7,1.3657,0.02843,0.02007,-0.0652
10.75,1.3659,0.0289,0.02056,-0.0649
10.8,1.3663,0.02936,0.02105,-0.0646
10.85,1.3669,0.02981,0.02153,-0.0642
10.9,1.367,0.03032,0.02206,-0.0639
10.95,1.3675,0.03079,0.02255,-0.0636
11,1.3674,0.03133,0.02311,-0.0633
11.05,1.3677,0.03182,0.02363,-0.063
11.1,1.3677,0.03236,0.0242,-0.0626
11.15,1.3677,0.03291,0.02477,-0.0623
11.2,1.3681,0.03342,0.02531,-0.062
11.25,1.3678,0.03401,0.02592,-0.0617
11.3,1.368,0.03455,0.02649,-0.0615
11.35,1.3682,0.0351,0.02706,-0.0612
11.4,1.3681,0.03568,0.02767,-0.0609
11.45,1.3681,0.03625,0.02827,-0.0607
11.5,1.368,0.03686,0.0289,-0.0604
11.55,1.368,0.03744,0.0295,-0.0601
11.6,1.3677,0.03807,0.03016,-0.0599
11.65,1.3674,0.03871,0.03083,-0.0596
11.7,1.3674,0.0393,0.03145,-0.0594
11.75,1.3668,0.03999,0.03216,-0.0591
11.8,1.3667,0.04063,0.03283,-0.0589
11.85,1.3665,0.04127,0.0335,-0.0587
11.9,1.3661,0.04195,0.0342,-0.0585
11.95,1.3658,0.04262,0.03489,-0.0583
12,1.3655,0.0433,0.0356,-0.0581
12.05,1.3649,0.04401,0.03634,-0.0579
12.1,1.3647,0.04468,0.03702,-0.0577
12.15,1.3638,0.04544,0.03781,-0.0575
