alpha,Cl,Cd,Cdp,Cm
-8,-0.1433,0.08672,0.08442,-0.0605
-7.75,-0.1412,0.08383,0.08151,-0.0645
-7.5,-0.1334,0.08018,0.07783,-0.0715
-7.25,-0.1225,0.07624,0.07386,-0.0746
-7,-0.1126,0.0736,0.0712,-0.0735
-6.75,-0.1002,0.07107,0.06865,-0.0737
-6.5,-0.0856,0.06841,0.06597,-0.0754
-6.25,-0.0694,0.06565,0.06315,-0.078
-6,-0.0503,0.06265,0.06013,-0.0815
-5.75,-0.0294,0.05951,0.05691,-0.0853
-5.5,-0.0044,0.05598,0.05333,-0.0904
-5.25,0.0432,0.04861,0.04567,-0.1042
-5,0.0598,0.04616,0.04319,-0.1045
-4.75,0.0804,0.04403,0.04102,-0.1054
-4.5,0.1037,0.04184,0.03874,-0.1068
-4.25,0.1296,0.03942,0.03623,-0.1087
-4,0.1578,0.03677,0.03343,-0.1109
-3.75,0.2009,0.03085,0.02697,-0.1159
-3.5,0.2237,0.02914,0.02524,-0.1164
-3.25,0.2487,0.02773,0.02376,-0.1169
-3,0.2756,0.02615,0.02206,-0.1176
-2.75,0.3043,0.02433,0.02005,-0.1183
-2.5,0.3366,0.02144,0.01667,-0.1191
-2,0.3905,0.01933,0.01439,-0.1196
-1.75,0.4214,0.01816,0.01272,-0.1197
-1.5,0.448,0.01698,0.01152,-0.1199
-1.25,0.4755,0.01634,0.01081,-0.12
-1,0.5044,0.01555,0.00974,-0.12
-0.75,0.5318,0.01489,0.00902,-0.1201
-0.5,0.5607,0.01613,0.01004,-0.1195
-0.25,0.5873,0.01385,0.00771,-0.1201
0,0.6148,0.01337,0.00711,-0.1201
0.5,0.6743,0.01149,0.00456,-0.1186
0.75,0.7019,0.01117,0.00415,-0.1183
1,0.7295,0.01087,0.00379,-0.1181
1.25,0.757,0.01064,0.00349,-0.1179
1.5,0.7843,0.01052,0.0033,-0.1177
1.75,0.8115,0.01046,0.00318,-0.1176
2,0.839,0.01041,0.00311,-0.1174
2.25,0.8664,0.01041,0.00307,-0.1173
2.5,0.8935,0.01047,0.00308,-0.1171
2.75,0.9205,0.01051,0.00307,-0.117
3,0.9475,0.01059,0.0031,-0.1168
3.25,0.9721,0.00941,0.00343,-0.1169
3.5,0.9962,0.00917,0.00348,-0.1157
3.75,1.0224,0.0094,0.00359,-0.1154
4,1.049,0.00958,0.00371,-0.1152
4.25,1.0753,0.00978,0.00384,-0.115
4.5,1.1013,0.01001,0.00401,-0.1147
4.75,1.1272,0.01024,0.00417,-0.1144
5,1.1533,0.01045,0.00435,-0.1141
5.25,1.1787,0.0107,0.00454,-0.1138
5.5,1.2039,0.01096,0.00475,-0.1134
5.75,1.2295,0.01119,0.00495,-0.1131
6,1.2543,0.01147,0.00518,-0.1126
6.25,1.2796,0.01171,0.00542,-0.1123
6.5,1.3042,0.01198,0.00567,-0.1119
6.75,1.3287,0.01226,0.00592,-0.1114
7,1.3533,0.01252,0.0062,-0.111
7.25,1.377,0.01284,0.00648,-0.1104
7.5,1.4011,0.01311,0.00676,-0.1099
7.75,1.424,0.01345,0.00707,-0.1092
8,1.4462,0.01382,0.0074,-0.1084
8.25,1.468,0.01421,0.00775,-0.1076
8.5,1.489,0.01464,0.00813,-0.1067
8.75,1.5081,0.01518,0.00859,-0.1055
9,1.5247,0.01587,0.00915,-0.1039
9.5,1.5518,0.01741,0.01047,-0.0997
9.75,1.5657,0.01806,0.0111,-0.0977
10,1.5796,0.01874,0.01178,-0.0957
10.25,1.5918,0.01954,0.01254,-0.0936
10.5,1.6062,0.02022,0.01324,-0.0919
10.75,1.619,0.02103,0.01405,-0.0901
11,1.6306,0.02193,0.01494,-0.0882
11.25,1.6431,0.0228,0.01582,-0.0865
11.5,1.653,0.02388,0.01687,-0.0846
11.75,1.6609,0.02513,0.01808,-0.0826
12,1.6661,0.02663,0.01951,-0.0805
12.25,1.6706,0.02824,0.02109,-0.0785
12.5,1.675,0.02991,0.02276,-0.0766
12.75,1.6778,0.03178,0.02463,-0.0747
13,1.6807,0.03371,0.02657,-0.073
13.25,1.6739,0.03661,0.02938,-0.071
13.5,1.6669,0.03966,0.03244,-0.0692
13.75,1.6648,0.04237,0.03525,-0.0679
14,1.6618,0.04528,0.03827,-0.0668
14.25,1.6586,0.04833,0.04143,-0.066
14.5,1.657,0.05133,0.04456,-0.0654
14.75,1.654,0.05462,0.04798,-0.065
15,1.6493,0.05822,0.0517,-0.0647
15.25,1.6428,0.06216,0.05578,-0.0647
15.5,1.6349,0.06642,0.06017,-0.0649
15.75,1.6253,0.07102,0.06489,-0.0654
16,1.6136,0.07599,0.06999,-0.066
16.25,1.6007,0.08127,0.0754,-0.0669
16.5,1.5862,0.0869,0.08116,-0.068
16.75,1.5708,0.09274,0.08713,-0.0692
17,1.5547,0.09881,0.09333,-0.0707
